	table.gene	table.logFC	table.logCPM	table.F	table,PValue	table.FDR	adjust.method	comparison	test
8171	EVI5	2.11531990706149	4.5360543523216	20.8449321174266	7,25E-05	0.0166497886075306	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
7583	MELTF	3.41084692557957	3.00996679248491	20.6542648070774	7,69E-05	0.017336269491334	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
1856	NDUFA4L2	4.90958930446671	4.8057251581588	20.5391027491343	7,98E-05	0.017513793823269	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
6958	NKD2	5.30497895667449	4.19333966540103	20.50205406212	8,07E-05	0.017513793823269	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
10197	ANGPTL1	3.63473701940439	3.08109576204663	20.3337775000694	8,51E-05	0.018134324747733	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
3923	GATA5	4.46587182993063	1.97799061487535	20.0674598760881	9,26E-05	0.0193815243755927	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
1334	TNFAIP6	3.99253412598489	4.15052257472834	19.9032762421497	9,76E-05	0.0200649483491348	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
10478	NEK7	1.9066942131168	6.38407246712579	19.5356596976691	0,000109824	0.021711665584113	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
7854	SULF1	5.39748376089776	5.66586116484099	19.5323351864044	0,000109942	0.021711665584113	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
7708	LIMA1	1.82701147850203	6.52458579796536	19.4963167911546	0,000111225	0.021711665584113	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
5512	MRO	4.7074552048318	2.80169485457844	19.4462909762053	0,000113033	0.021711665584113	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
345	MECOM	3.56268386331064	2.85844473832942	19.2510297325604	0,000120399	0.0227534047526512	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
4810	FMO2	7.22100044567909	4.85332534748758	19.084678360801	0,000127078	0.0236344768582571	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
6866	SAMHD1	2.55904769565103	5.32754707339397	19.0085255541774	0,000130267	0.0238489592637038	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
3249	RBBP7	1.29556304406776	6.96936583990615	18.8738899384321	0,000136115	0.024536272713811	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
2238	PRR15	4.16166092434899	2.36363913800466	18.7099602452153	0,000143617	0.0254962902631898	BH	1*groupCardiac_Myocyte:h -1*groupa:h	glm
