table.gene	log*sign
GIMAP7	-7,090547993
NBEAL2	-7,087466413
UBL3	-7,084853385
LLGL2	-7,084550189
MAGED1	7,079599062
ZCCHC2	-7,075340681
SAR1A	7,074697386
ITGB4	-7,072667111
MORF4L2	7,071568951
KDELR1	7,063562943
CDK4	7,054067045
TOX	-7,054011757
ATP8A1	-7,052378271
VTN	7,051503683
FOLR2	-7,050947975
AKNA	-7,048543235
WAS	-7,043296833
FNTA	7,026795915
SASH3	-7,0166614
STEAP1	7,009512657
APOLD1	-7,004073513
POGLUT2	7,003190503
RNF13	-6,994993444
MGMT	6,989065768
NUBP2	6,986008399
MEGF9	-6,982389188
TRMT112	6,979634486
MRPL54	6,978109028
PLSCR3	6,9665149
PADI2	-6,964187422
SPHK1	6,963355225
SEC13	6,95903476
JOSD2	6,958903309
RUBCN	-6,954834228
FBRSL1	-6,954392863
BZW2	6,951291873
PABPC4L	6,949540229
PIMREG	6,947518986
TMC8	-6,943384681
SPINT2	-6,922886334
NHLRC3	-6,919955138
HLF	-6,919907621
AVEN	6,919529659
PTGER4	-6,918904599
CALR	6,915852496
VPS36	-6,915588923
CDC42SE2	-6,914371098
PYCR1	6,905847081
DPCD	6,902621561
RFXANK	6,891874281
NRN1	-6,891422465
GIMAP1	-6,889465942
FJX1	6,889249831
TMEM263	6,885439701
TMCO3	6,884674775
RHOT1	-6,874841072
PSMB6	6,866508658
SLC16A2	6,865414325
GNG7	-6,851794106
SND1	6,847882407
N4BP2L1	-6,847818512
RPS19	6,83961541
LMNB2	6,837589558
FRZB	-6,831100835
MCTP1	-6,830227272
DCTD	6,827583267
ULK1	-6,827312086
AOAH	-6,815944612
ALG3	6,81052033
MAL	-6,807045268
RUVBL2	6,806512019
GRAMD1A	6,805495701
GPC1	6,796219564
CCZ1B	6,79592342
CCZ1	6,79592342
RALGPS1	-6,790796741
CD37	-6,787455251
PDLIM7	6,783749087
ZBTB21	-6,783127265
SERPINH1	6,771181647
TSHZ1	-6,767094511
SGPP2	-6,766690704
DENND3	-6,766259581
LCN2	-6,765079527
RPL7A	6,756372234
RPS6KA5	-6,751780166
DBN1	6,748686314
FHL3	6,74836578
MEF2D	-6,746189557
P4HA2	6,744541956
TBC1D14	-6,733735434
PIK3C2B	-6,733214935
LTC4S	6,732926149
PPTC7	-6,730569102
TMEM238	-6,729455547
IL2RG	-6,729320679
XKR6	-6,724519123
PSMD9	6,72432228
FNIP2	-6,724022354
PIK3R5	-6,715453136
NEK6	6,712068999
RNF44	-6,71184047
PTPN7	-6,710900341
PDLIM5	6,707846631
MARCKSL1	6,707047419
PRRG4	-6,703463878
KHDRBS1	6,70222327
DTD1	6,697089526
HGSNAT	6,694755882
TET2	-6,686473508
COMMD1	6,686064636
PLXDC1	-6,682550547
RPL27A	6,682151499
NR1D2	-6,672539318
DENR	6,671497032
CCDC88C	-6,670700126
CYTIP	-6,670470252
NKD2	6,66079442
RNF19A	-6,65651349
ARF4	6,65579408
IL10RA	-6,645370889
TNFAIP6	6,644900836
TNFAIP8L2	-6,642510982
NDUFA13	6,639580832
HLA-F	-6,636279177
DAPP1	-6,636189376
MTMR10	-6,630664647
GSTM1	-6,622940692
MLLT1	6,619460495
RABEPK	6,617259804
ZNF91	-6,616636501
RAI2	-6,609255754
ITGAM	-6,606595094
SELPLG	-6,6042308
EIF4B	6,601669797
WFDC1	-6,595729438
DTYMK	6,594004034
DOK5	6,593780497
SRPX2	6,590222266
MAL2	-6,581556496
IL18	-6,580914566
PLVAP	-6,579015984
GPBP1L1	-6,572281962
PPM1B	-6,566034568
FAM114A1	6,55774101
RASGRP2	-6,557037801
CCDC86	6,547785611
SPEN	-6,544830984
TNC	-6,542618714
NDUFB11	6,541913111
MTHFD2	6,539044324
LATS1	-6,536529915
RER1	6,533182498
ARHGEF10L	-6,531755907
MGAT4A	-6,531089138
CD69	-6,52548969
SPNS1	6,521535888
MITF	-6,518494158
IL6ST	6,516928577
CDK7	6,516126662
BOD1	6,515709627
SLC12A8	6,511133634
IL7R	-6,505995208
NEDD8	6,497536101
FGL2	-6,49530267
TIMM13	6,487044426
HMBS	6,484987673
PGM1	6,48331253
SERPINA1	-6,480273083
CHPF	6,476747981
SMIM20	6,472501698
HCST	-6,467147151
CBR3	6,465747863
PRSS23	6,463555064
TNF	-6,453650968
PRMT1	6,451165591
RINT1	6,450580129
MELTF	6,449231389
MRPL9	6,449078253
PGM3	6,443215669
SLC25A40	-6,441276694
KHSRP	6,429560209
RRAS	6,428201208
PTGIS	6,423183555
DUT	6,416223661
NXPH4	6,414619176
GPD1L	-6,408755768
HDAC2	6,401349648
LPXN	-6,399113547
ANXA2	6,398007182
RBM26	-6,391128437
TRIB3	6,387597717
PLEKHF2	-6,387227788
OSTC	6,383734757
SLC2A10	6,383284549
SNRK	-6,372789405
MYH11	-6,371816681
GTF2F1	6,366760589
ST14	-6,362801935
PTPN4	-6,361422425
FAM207A	6,352295805
STRN	-6,349095807
GNPTAB	-6,347537951
ZC3H6	-6,3469164
PDE9A	-6,34346474
LMAN2	6,342475241
CDC42EP2	6,338285483
DOK2	-6,330269323
LMTK2	-6,322261137
SCARF2	6,31969721
SRM	6,314063826
MTM1	-6,312359633
CLEC10A	-6,312057469
PPP1R9A	-6,309453356
BZW1	6,306786791
SNRPB2	6,306043844
TFEC	-6,302197692
TRPM2	-6,300920133
ADAP2	-6,29914816
NFU1	6,295024274
POLR3D	6,291724033
ZNRF2	-6,291086013
DOC2B	-6,284476514
RBL2	-6,283983277
ACTG1	6,280385259
PXDN	6,275536554
NGF	6,274504552
ADRA2A	-6,270773258
FLYWCH2	6,270492224
RANBP1	6,269895832
MINPP1	6,263963036
YIPF5	6,263867294
KCNG1	6,261930782
MYRIP	-6,259270905
PTRH2	6,249808992
NQO1	6,245207414
BCL11A	-6,241432776
IGFLR1	-6,239919263
PKM	6,238475788
PES1	6,23669491
