	table.gene	table.logFC	table.logCPM	table.F	table,PValue	table.FDR	adjust.method	comparison	test
266	WT1	-6.49529366525449	3.00059992869723	84.1971309191427	7,10E-08	1.43358429156296e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
9599	PKDCC	-3.49857301764496	5.49246085982911	49.2416632359349	7,79E-08	1.54742839400904e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11338	ID4	-3.76143577563637	5.8767779351909	48.8778182461619	8,36E-08	1.63354228443657e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11715	ID2	-2.40115149856078	8.49189159314768	48.6672885679393	8,72E-08	1.67436809126373e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
3580	HS3ST1	-4.19384592235811	5.30797418902073	48.5691757257019	8,89E-08	1.67937367802071e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
10197	ANGPTL1	-4.56006847230803	3.10961139225494	49.0848433360067	9,66E-08	1.79737011168913e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
11246	PAPPA	-4.26913278661209	3.14624721440193	57.7747747979681	1,20E-07	2.18806307789808e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
10344	PROS1	-2.81356654091876	6.7197091039838	46.7806472254433	1,27E-07	2.28503015784835e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
6165	LAMA4	-3.26789919262265	5.5173265549553	57.2021676775721	1,30E-07	2.30229408208124e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
6789	NRK	-3.99234764882445	4.38661583984553	46.4656696104026	1,35E-07	2.36199518343141e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
345	MECOM	-4.08630209487972	2.87637205974149	46.8811242595094	1,48E-07	2.55225589890455e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1316	MGP	-7.10673612254152	10.0755668682935	45.8572622467925	1,53E-07	2.59446557970634e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
8817	TXNRD1	-3.12477324246434	7.62701681360053	45.7643142225781	1,56E-07	2.60625941292199e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
2280	PLIN2	-2.8647621108406	6.12720400750038	45.6309916207056	1,60E-07	2.64036572007624e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
1220	STARD5	-2.43329650949188	6.2392699483586	45.2789742597439	1,72E-07	2.79812212159497e-05	BH	0.25*groupastrocite_cerebell:h -1*groupCardiac_Myocyte:h 0.25*groupHepatocyte:h 0.25*groupMeningeal_cells:h 0.25*groupSchwann_cells:h	glm
