table.gene	table.logFC	table.logCPM	table.F	table.PValue	table.FDR	adjust.method	comparison	test
59	ITIH4	-1.38160157098029	9.50996339018547	1.30971020185484	0.392706033670718	0.70169967348692	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
60	ACTR3	-1.2140106786117	7.88755557999457	3.44539416073113	0.073129393384958	0.331424134892772	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
61	ITGAM	-3.47698006475665	2.02530951884928	9.62491069125671	0.0066709152757525	0.0962320932506268	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
62	MRPL12	0.648898755024602	8.50566977075064	0.760263084441922	0.390070154507533	0.699754501282239	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
63	MYD88	1.27830302788368	4.80782175404904	1.24148489695365	0.407735048866997	0.712317680979513	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
64	MAP4K4	-1.06586592421182	7.10922120081175	5.79072944482953	0.0223777449926866	0.182210741910173	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
65	HBEGF	0.332470973063463	4.67850313430533	0.125236695831931	0.725861774554804	0.905286516837707	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
66	TMEM104	0.392170341788094	5.13406513685736	0.276878690282437	0.602566537232439	0.843009895900534	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
67	RCE1	0.400844138987915	4.65656224618625	0.328991400825707	0.570466391401321	0.824531247922661	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
68	PILRB	-1.69938205446928	3.99351984812552	1.01545838578357	0.323084991080623	0.646057955465309	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
69	EPOR	0.013075126037429	2.72133730838304	0.000158574135836531	0.990037735152221	1	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
70	RBBP6	0.356806648844178	4.16529488669268	0.0334217206651393	0.856195166626508	0.97010776881195	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
71	PSMC5	0.517930722904787	7.22102767132027	1.06755792419095	0.309635153787791	0.632766099182917	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
72	RELT	0.843897719620317	3.26463021289547	0.61160904789758	0.440222345952048	0.735873121479843	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
73	GORASP1	0.865160309868132	4.68388126786732	2.91403742075107	0.0979919326730505	0.381065054433906	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
74	SOCS1	2.13364487452086	5.0752277842459	6.08737641184306	0.019451289030547	0.167551282806817	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
75	KIF19	2.78591723547501	1.878050617304	5.8408008267602	0.0268680508753534	0.199162017221289	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
76	RTN4R	0.553775617962927	2.32534634911533	0.355692587019961	0.556622931073508	0.816530666246534	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
77	SHROOM3	-2.0577811130667	4.33254292643508	5.13866402376001	0.0306569699055653	0.212339004433749	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
78	CLCN6	1.48869927970317	3.76539813470547	3.50092301348835	0.0709722342500168	0.327064591810511	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
79	PANK4	0.293030009425569	4.28335324363916	0.27751674055644	0.602150706464418	0.84276255895651	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
80	PIGR	0	8.31178572213716	0	1	1	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
